value,count,acres,year,county,Category,Crop_0_1
0,1598698,355541.8769,2005,Ada,NA,NA
1,52194,11607.66619,2005,Ada, Corn,1
21,46050,10241.27348,2005,Ada, Barley,1
24,1699,377.8485048,2005,Ada, Winter Wheat,1
36,424704,94451.89604,2005,Ada, Alfalfa,1
42,333,74.05741736,2005,Ada, Dry Beans,1
44,699,155.4538581,2005,Ada, Other Crops,1
59,3,0.66718394,2005,Ada, Sod/Grass Seed,1
61,14186,3154.890458,2005,Ada, Fallow/Idle Cropland,0
63,56714,12612.88999,2005,Ada, Forest,0
81,7869,1750.023475,2005,Ada,Clouds,0
83,6980,1552.314634,2005,Ada,Water,0
176,2440286,542706.5429,2005,Ada, Grass/Pasture,0
0,458032,101863.8648,2007,Ada,NA,NA
1,16997,3780.04181,2007,Ada, Corn,1
12,596,132.5472094,2007,Ada, Sweet Corn,1
21,364,80.9516514,2007,Ada, Barley,1
23,1235,274.6573887,2007,Ada, Spring Wheat,1
24,5274,1172.909367,2007,Ada, Winter Wheat,1
25,143,31.80243448,2007,Ada, Other Small Grains,1
27,3,0.66718394,2007,Ada, Rye,1
28,630,140.1086274,2007,Ada, Oats,1
36,29170,6487.251845,2007,Ada, Alfalfa,1
41,1572,349.6043846,2007,Ada, Sugarbeets,1
42,1610,358.0553812,2007,Ada, Dry Beans,1
43,666,148.1148347,2007,Ada, Potatoes,1
47,122,27.1321469,2007,Ada, Misc Vegs & Fruits,1
49,349,77.6157317,2007,Ada, Onions,1
53,283,62.93768502,2007,Ada, Peas,1
56,38,8.450996575,2007,Ada, Hops,1
57,1375,305.7926392,2007,Ada, Herbs,1
58,63,14.01086274,2007,Ada, Clover/Wildflowers,0
59,735,163.4600653,2007,Ada, Sod/Grass Seed,1
61,3174,705.8806087,2007,Ada, Fallow/Idle Cropland,0
63,101,22.46185932,2007,Ada, Forest,0
67,16,3.558314347,2007,Ada, Peaches,1
68,126,28.02172549,2007,Ada, Apples,1
69,6,1.33436788,2007,Ada, Grapes,1
71,18,4.003103641,2007,Ada, Other Tree Crops,1
72,14,3.113525054,2007,Ada, Citrus,1
111,5418,1204.934196,2007,Ada, Open Water,0
121,86400,19214.89748,2007,Ada, Developed/Open Space,0
122,37251,8284.422985,2007,Ada, Developed/Low Intensity,0
123,7794,1733.343876,2007,Ada, Developed/Medium Intensity,0
124,889,197.7088409,2007,Ada, Developed/High Intensity,0
131,47,10.4525484,2007,Ada, Barren,0
141,17,3.780708994,2007,Ada, Deciduous Forest,0
142,7925,1762.477575,2007,Ada, Evergreen Forest,0
152,208062,46271.87498,2007,Ada, Shrubland,0
176,456864,101604.1079,2007,Ada, Grass/Pasture,0
190,316,70.27670836,2007,Ada, Woody Wetlands,0
195,139,30.91285589,2007,Ada, Herbaceous Wetlands,0
0,1598698,355541.8769,2008,Ada,NA,NA
1,40893,9094.384288,2008,Ada, Corn,1
4,37,8.228601928,2008,Ada, Sorghum,1
6,1,0.222394647,2008,Ada, Sunflowers,1
12,4152,923.3825732,2008,Ada, Sweet Corn,1
14,1,0.222394647,2008,Ada, Mint,1
21,1380,306.9046125,2008,Ada, Barley,1
23,12331,2742.348389,2008,Ada, Spring Wheat,1
24,50980,11337.67909,2008,Ada, Winter Wheat,1
27,2,0.444789293,2008,Ada, Rye,1
28,2419,537.9726504,2008,Ada, Oats,1
31,7,1.556762527,2008,Ada, Canola,1
36,119070,26480.53058,2008,Ada, Alfalfa,1
37,9559,2125.870428,2008,Ada, Other Hay/Non Alfalfa,1
41,5773,1283.884295,2008,Ada, Sugarbeets,1
42,7942,1766.258284,2008,Ada, Dry Beans,1
43,810,180.1396638,2008,Ada, Potatoes,1
44,24,5.337471521,2008,Ada, Other Crops,1
49,1749,388.9682371,2008,Ada, Onions,1
52,27,6.004655461,2008,Ada, Lentils,1
53,1154,256.6434223,2008,Ada, Peas,1
54,4,0.889578587,2008,Ada,Tomatoes,1
56,157,34.91595953,2008,Ada, Hops,1
57,4768,1060.377676,2008,Ada, Herbs,1
58,37,8.228601928,2008,Ada, Clover/Wildflowers,0
59,6274,1395.304013,2008,Ada, Sod/Grass Seed,1
61,43510,9676.391079,2008,Ada, Fallow/Idle Cropland,0
66,252,56.04345097,2008,Ada,Cherries,1
67,240,53.37471521,2008,Ada, Peaches,1
68,848,188.5906604,2008,Ada, Apples,1
69,77,17.1243878,2008,Ada, Grapes,1
71,5,1.111973234,2008,Ada, Other Tree Crops,1
77,36,8.006207282,2008,Ada, Pears,1
111,15604,3470.246067,2008,Ada, Open Water,0
121,202270,44983.76519,2008,Ada, Developed/Open Space,0
122,141762,31527.10991,2008,Ada, Developed/Low Intensity,0
123,38824,8634.249764,2008,Ada, Developed/Medium Intensity,0
124,4547,1011.228459,2008,Ada, Developed/High Intensity,0
131,206,45.81329722,2008,Ada, Barren,0
141,399,88.73546404,2008,Ada, Deciduous Forest,0
142,25967,5774.921791,2008,Ada, Evergreen Forest,0
143,13,2.891130407,2008,Ada, Mixed Forest,0
152,724046,161023.9544,2008,Ada, Shrubland,0
176,1581282,351668.6517,2008,Ada, Grass/Pasture,0
190,153,34.02638095,2008,Ada, Woody Wetlands,0
195,73,16.23480921,2008,Ada, Herbaceous Wetlands,0
205,1637,364.0600367,2008,Ada, Triticale,1
206,157,34.91595953,2008,Ada, Carrots,1
218,17,3.780708994,2008,Ada, Nectarines,1
219,107,23.7962272,2008,Ada, Greens,1
220,17,3.780708994,2008,Ada, Plums,1
229,15,3.335919701,2008,Ada,Pumpkin,1
246,1,0.222394647,2008,Ada, Radishes,1
247,101,22.46185932,2008,Ada, Turnips,1
0,1598698,355541.8769,2009,Ada,NA,NA
1,50564,11245.16292,2009,Ada, Corn,1
4,102,22.68425396,2009,Ada, Sorghum,1
6,4,0.889578587,2009,Ada, Sunflowers,1
12,2469,549.0923827,2009,Ada, Sweet Corn,1
14,5,1.111973234,2009,Ada, Mint,1
21,1998,444.3445041,2009,Ada, Barley,1
23,7674,1706.656519,2009,Ada, Spring Wheat,1
24,34664,7709.088034,2009,Ada, Winter Wheat,1
25,127,28.24412013,2009,Ada, Other Small Grains,1
27,16,3.558314347,2009,Ada, Rye,1
28,3240,720.5586554,2009,Ada, Oats,1
31,1,0.222394647,2009,Ada, Canola,1
