Long,Lat,Type
-113.730375,43.464836,BDA
-113.732397,43.464397,BDA
-113.732617,43.464325,BDA
-113.732582,43.46414,BDA
-113.742149,43.459665,BDA
-113.74535,43.457194,BDA
-113.751173,43.453921,BDA
-113.757945,43.453009,BDA
-113.759519,43.453082,BDA
-113.761216,43.453322,BDA
-113.762132,43.453218,BDA
-113.765425,43.452452,BDA
-113.770212,43.451313,BDA
-113.762253,43.453209,PALS
-113.760147,43.453104,PALS
-113.759258,43.453157,PALS
-113.756028,43.452681,PALS
-113.754974,43.453282,PALS
-113.75296,43.453338,PALS
-113.751326,43.453822,PALS
-113.750658,43.454459,PALS
-113.750325,43.45471,PALS
-113.749896,43.454759,PALS
-113.74874,43.455564,PALS
-113.748109,43.455841,PALS
-113.747755,43.45597,PALS
-113.747561,43.456027,PALS
-113.745363,43.457173,PALS
-113.745255,43.457234,PALS
-113.742665,43.459281,PALS
-113.742724,43.459323,PALS
-113.742107,43.459963,PALS
-113.741484,43.460465,PALS
-113.741325,43.460578,PALS
-113.741214,43.460623,PALS
-113.736974,43.462236,PALS
-113.736791,43.462292,PALS
-113.733622,43.463847,PALS
-113.733359,43.46392,PALS
-113.732143,43.464377,PALS
-113.731523,43.46454,PALS
-113.731271,43.464637,PALS
-113.730353,43.464808,PALS
-113.729521,43.464938,PALS
-113.729445,43.465103,PALS
-113.729195,43.465052,PALS
-113.729073,43.465055,PALS
-113.729038,43.465003,PALS
-113.7287,43.464944,BALJ
-113.738402,43.461669,BALJ
-113.766806,43.451735,BALJ
