FID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
0,16,IDAHO,ID,Bear Lake,16007,"Bear Lake County, Idaho",974.967778051,5928.0,0.0,3984.0,35.0,2395.0,145.0,847.0,185.0,88.0,34.0,22985.0,2194.0,252.0,67.0,1185.0,23.0,1595.0,17.0,812.0,120.0,128.0,47.4,369.0,16.0,32.0,61.3,117.0,44.1,245.0,63.0,42.0,24.6,84.0,34.0,39.0,60.0,14.5,3.2,3.4,1.3,22985.0,2194.0,6.4,1.7,20.0,0.4,26.9,0.3,13.8,2.0,5.3,2.0,6.2,0.3,0.6,1.1,2.9,1.1,6.1,1.6,1.8,1.0,3.5,1.4,0.7,1.0,0.3953,0.0233,0.3023,0.1163,0.8372,0.093,0.6512,0.5814,0.3953,0.2558,1.8837,0.3023,0.093,0.3488,0.4419,0.186,0.6279,0.1395,0.1628,0.3488,0.186,1.4651,0.0465,4.6279,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,132.0,10.0,2.2,4645.0
1,16,IDAHO,ID,Boise,16015,"Boise County, Idaho",1899.55841425,6891.0,0.0,5356.0,53.0,2994.0,230.0,938.0,248.0,247.0,85.0,28273.0,2566.0,327.0,103.0,1520.0,52.0,1274.0,0.0,1216.0,169.0,136.0,54.6,551.0,16.0,5.0,62.4,2.0,16.3,814.0,154.0,23.0,22.4,111.0,52.0,75.0,77.0,13.7,3.6,8.3,2.9,28273.0,2566.0,6.2,2.0,22.1,0.8,18.5,0.0,17.7,2.5,4.5,1.8,8.0,0.2,0.1,0.9,0.0,0.3,15.2,2.9,0.8,0.7,3.7,1.7,1.1,1.1,0.3256,0.814,0.0698,0.093,1.3023,0.2093,0.8372,0.093,0.6744,0.093,1.6977,0.186,0.2326,0.0698,0.3023,0.093,0.0233,0.7209,0.0,0.4186,0.3953,1.5581,0.1163,4.8605,0.0465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,193.0,12.4,2.8,5576.0
2,16,IDAHO,ID,Bonner,16017,"Bonner County, Idaho",1733.00218755,41389.0,0.0,24570.0,65.0,17109.0,441.0,6092.0,779.0,996.0,179.0,24507.0,1504.0,2949.0,372.0,8859.0,77.0,8439.0,46.0,6732.0,548.0,1320.0,243.8,2590.0,24.0,23.0,93.9,1262.0,246.1,3295.0,334.0,476.0,164.8,840.0,177.0,449.0,122.0,15.0,1.9,5.7,1.0,24507.0,1504.0,9.7,1.2,21.4,0.2,20.4,0.1,16.4,1.3,7.7,1.4,6.3,0.1,0.1,0.2,5.1,1.0,13.4,1.4,2.8,1.0,4.9,1.0,1.1,0.3,0.4419,0.4419,0.2558,0.3721,1.5116,0.2791,0.7442,0.2093,0.6279,0.4884,2.0698,0.5349,0.1163,0.0465,0.1628,0.0233,0.8605,0.6047,0.4884,0.6977,0.3721,3.0233,0.7442,6.7674,0.3488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6057.0,740.0,14.8,1.8,38003.0
3,16,IDAHO,ID,Bonneville,16019,"Bonneville County, Idaho",1865.94634866,108989.0,0.0,40783.0,105.0,37138.0,361.0,13711.0,1339.0,2366.0,354.0,24889.0,914.0,5855.0,526.0,13146.0,139.0,34072.0,0.0,14659.0,768.0,3225.0,403.6,17484.0,55.0,1769.0,317.9,2007.0,281.0,2102.0,263.0,1049.0,271.3,1675.0,238.0,1577.0,246.0,12.7,1.2,4.7,0.7,24889.0,914.0,8.9,0.8,12.1,0.1,31.3,0.0,13.6,0.7,8.7,1.1,16.0,0.1,1.8,0.3,4.9,0.7,5.2,0.6,2.8,0.7,4.5,0.6,1.4,0.2,0.2093,0.2326,0.2326,0.3256,1.0,0.1395,0.1395,0.8605,0.3721,0.6977,2.0698,0.5116,0.6279,0.5581,1.186,0.6047,0.814,0.0698,0.5116,0.6512,0.4651,2.5116,0.5814,6.7674,0.3953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12859.0,1020.0,11.9,0.9,112354.0
4,16,IDAHO,ID,Boundary,16021,"Boundary County, Idaho",1268.727377,11141.0,0.0,5253.0,30.0,4393.0,189.0,1813.0,369.0,157.0,73.0,22822.0,2891.0,819.0,179.0,2230.0,48.0,2687.0,9.0,1956.0,280.0,224.0,106.5,1003.0,18.0,62.0,82.3,181.0,100.8,781.0,171.0,137.0,73.0,204.0,96.0,108.0,60.0,16.6,3.4,3.9,1.8,22822.0,2891.0,10.6,2.3,20.0,0.4,24.1,0.1,17.7,2.5,5.1,2.4,9.0,0.2,0.6,0.8,3.4,1.9,14.9,3.3,3.1,1.7,4.6,2.2,1.0,0.5,0.6279,0.1163,0.3488,0.4651,1.5581,0.3256,0.6512,0.4186,0.6744,0.186,1.9302,0.3488,0.3721,0.3721,0.7442,0.4186,0.6977,0.6977,0.6047,0.6744,0.3256,3.0,0.7209,7.2326,0.4884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381.0,369.0,21.5,3.3,10408.0
5,16,IDAHO,ID,Butte,16023,"Butte County, Idaho",2236.30923963,2592.0,0.0,1293.0,108.0,1061.0,105.0,396.0,154.0,70.0,32.0,25209.0,3315.0,176.0,74.0,526.0,83.0,547.0,115.0,413.0,76.0,62.0,32.0,142.0,86.0,9.0,44.5,57.0,25.1,157.0,47.0,10.0,15.6,30.0,18.0,44.0,23.0,15.5,6.1,6.8,3.2,25209.0,3315.0,9.6,3.9,20.3,3.2,21.1,4.4,16.2,3.0,5.8,3.0,5.5,3.3,0.4,1.8,4.4,1.9,12.1,3.4,0.9,1.5,2.8,1.6,1.7,0.9,0.4884,0.6512,0.1628,0.3488,1.6512,0.3721,0.6977,0.2326,0.5814,0.3488,1.8605,0.2558,0.0465,0.2326,0.2791,0.0465,0.7907,0.5116,0.0465,0.186,0.6047,2.1395,0.2791,5.9302,0.1628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,85.0,13.6,3.3,8784.0
6,16,IDAHO,ID,Canyon,16027,"Canyon County, Idaho",587.396830598,202782.0,0.0,71441.0,150.0,67155.0,540.0,37366.0,2588.0,7749.0,729.0,18639.0,351.0,19503.0,1001.0,25413.0,148.0,60768.0,0.0,26675.0,1337.0,6633.0,625.6,58146.0,84.0,6582.0,751.3,2050.0,294.8,6067.0,522.0,2742.0,351.4,2880.0,347.0,3289.0,413.0,18.7,1.3,8.3,0.7,18639.0,351.0,15.9,0.8,12.5,0.1,30.0,0.0,13.3,0.7,9.9,0.9,28.7,0.0,3.5,0.4,2.9,0.4,8.5,0.7,4.1,0.5,4.3,0.5,1.6,0.2,0.814,0.814,0.8837,0.7907,3.3023,0.9767,0.1628,0.7907,0.3256,0.8837,2.1628,0.6512,0.814,0.7442,1.5581,0.7674,0.5814,0.2093,0.7442,0.5814,0.5814,2.6977,0.6047,9.7209,0.9302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33045.0,1756.0,16.4,0.9,183401.0
7,16,IDAHO,ID,Caribou,16029,"Caribou County, Idaho",1764.10962568,6813.0,0.0,3214.0,32.0,2553.0,125.0,680.0,144.0,77.0,45.0,25146.0,1476.0,347.0,73.0,1142.0,29.0,1964.0,36.0,959.0,113.0,125.0,61.0,530.0,9.0,73.0,72.2,35.0,42.2,315.0,93.0,58.0,31.1,128.0,63.0,100.0,75.0,10.2,2.2,2.4,1.4,25146.0,1476.0,7.9,1.6,16.8,0.4,28.8,0.5,14.2,1.7,4.9,2.4,7.8,0.1,1.2,1.1,1.1,1.3,9.8,2.9,2.3,1.2,5.0,2.4,1.5,1.1,0.0,0.0,0.2093,0.2093,0.4186,0.0,0.5116,0.7674,0.4651,0.1395,1.8837,0.3256,0.186,0.4651,0.6512,0.2791,0.2558,0.3256,0.3256,0.7209,0.4884,2.1163,0.2326,5.0698,0.0698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,145.0,8.3,2.2,6663.0
8,16,IDAHO,ID,Elmore,16039,"Elmore County, Idaho",3074.98405029,26103.0,0.0,12195.0,52.0,9832.0,274.0,4587.0,778.0,811.0,185.0,22045.0,1318.0,2170.0,270.0,3091.0,114.0,6889.0,51.0,3133.0,376.0,794.0,177.8,6777.0,20.0,855.0,273.8,259.0,102.6,1510.0,242.0,278.0,126.6,357.0,102.0,679.0,101.0,18.1,3.1,7.5,1.6,22045.0,1318.0,13.7,1.7,11.8,0.4,26.4,0.2,13.1,1.6,8.1,1.8,26.0,0.1,3.6,1.1,2.1,0.8,12.4,2.0,2.8,1.3,3.6,1.1,2.6,0.4,0.7674,0.7442,0.4884,0.7209,2.7209,0.7674,0.1163,0.4884,0.2791,0.5581,1.4419,0.0698,0.7907,0.7674,1.5581,0.814,0.4884,0.5349,0.5349,0.3953,0.814,2.7674,0.6512,8.4884,0.6744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3133.0,473.0,13.1,1.9,21622.0
9,16,IDAHO,ID,Nez Perce,16069,"Nez Perce County, Idaho",848.288597183,39995.0,0.0,17420.0,107.0,16127.0,256.0,5266.0,662.0,1156.0,183.0,25179.0,675.0,2335.0,295.0,7602.0,39.0,8537.0,62.0,7010.0,540.0,1463.0,226.2,5032.0,48.0,93.0,94.9,881.0,176.2,1473.0,204.0,326.0,96.3,852.0,185.0,1069.0,219.0,13.6,1.7,5.9,0.9,25179.0,675.0,8.4,1.1,19.0,0.1,21.3,0.2,17.8,1.4,9.1,1.4,12.6,0.1,0.2,0.3,5.1,1.0,8.5,1.2,2.0,0.6,5.3,1.1,2.7,0.5,0.3023,0.4884,0.186,0.2558,1.2326,0.186,0.6047,0.2558,0.7209,0.7209,2.3023,0.8372,0.4651,0.2093,0.6744,0.3256,0.8372,0.2093,0.2093,0.8605,0.8605,2.9767,0.6977,7.186,0.4419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4856.0,567.0,12.3,1.4,43853.0
