GeoType,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,citizens,citizensOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,prienv,prienvOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose
National,US,213649147,70.172,13.633,56.902,31.861,49.454,27.632,61.586,5.791,60.765,39.158,70.425,19.094,70.125,18.4,62.024,24.699,58.447,30.281,41.153,47.674,50.528,49.472,84.515,12.812,77.351,19.803,70.031,28.464,67.732,29.05,63.474,33.706,81.867,15.412,32.306,64.865,48.948,48.53,78.873,20.775,68.152,11.542,64.621,12.079,62.003,16.126,55.994,14.826,56.911,14.744,69.651,27.598,35.617,64.24,22.093,76.745
State,Alabama,3261408,63.154,16.532,50.774,37.149,39.295,30.611,52.66,7.404,53.186,46.759,61.921,22.79,60.924,22.839,54.437,27.851,52.31,33.119,36.285,49.279,44.997,55.003,81.552,15.431,73.472,23.31,64.606,33.922,63.57,32.592,57.106,40.889,79.519,17.444,36.254,59.559,59.076,37.81,76.743,22.698,62.473,12.631,58.851,13.604,55.277,19.609,52.681,15.861,53.229,15.246,67.488,29.13,28.664,71.261,17.414,81.142
State,Alaska,470699,68.62,16.346,52.169,36.086,47.342,32.421,57.479,6.168,58.734,40.73,69.884,21.95,67.387,21.654,61.279,27.53,56.063,34.395,36.943,53.146,47.539,52.461,84.247,12.55,74.647,22.145,66.136,32.789,63.007,32.948,58.647,37.96,81.95,14.845,32.541,63.352,47.415,49.002,77.292,22.243,65.787,11.379,63.311,11.111,56.903,20.015,47.414,17.783,52.812,15.644,69.707,26.013,38.979,60.179,23.234,75.335
State,Arizona,4440635,69.955,15.062,55.654,33.059,49.135,29.271,60.315,6.012,60.232,39.697,67.888,21.247,67.426,20.202,61.139,25.902,58.323,31.487,40.973,48.468,50.247,49.753,83.906,13.392,76.11,21.588,68.061,30.387,64.182,32.064,63.226,34.225,81.31,16.085,36.45,61.168,52.023,45.189,77.121,22.615,67.383,11.615,63.668,12.542,60.523,18.057,54.242,15.775,56.81,15.991,69.31,28.514,38.936,60.838,24.705,74.127
State,Arkansas,1973591,63.213,17.783,50.788,36.373,40.364,32.307,53.169,7.54,54.071,45.819,65.471,22.4,65.006,21.833,57.231,28.683,52.793,34.343,35.74,50.777,45.296,54.704,80.451,16.879,72.594,24.699,64.987,33.633,64.211,32.215,58.274,38.861,78.46,18.285,36.837,58.916,56.31,40.469,76.405,23.043,62.448,12.494,60.085,13.621,56.067,20.744,51.651,16.544,53.59,16.301,64.031,30.337,30.294,69.547,18.869,79.808
State,California,25554412,76.182,9.768,63.332,26.897,56.331,22.574,67.213,4.876,68.22,31.641,76.031,14.73,75.62,14.298,68.468,19.423,65.547,24.485,48.566,40.961,56.577,43.423,84.627,12.311,79.049,17.931,74.048,24.591,72.027,24.997,66.338,30.764,82.86,14.262,26.551,70.39,38.593,58.788,82.245,17.446,71.028,11.484,67.889,11.581,66.519,14.789,56.382,16.26,59.66,14.257,73.899,24.528,41.488,58.301,25.447,73.34
State,Colorado,3590350,71.557,14.167,56.957,31.618,51.673,28.792,62.72,5.695,61.112,38.845,71.005,19.888,70.586,18.716,62.149,26.188,58.617,32.218,40.324,50.572,50.382,49.618,85.307,12.277,76.978,20.815,70.797,27.765,64.589,31.927,63.896,33.944,82.517,15.331,32.149,66.043,43.488,54.556,77.668,22.137,69.155,11.527,65.772,11.974,61.739,17.868,53.99,15.905,56.097,15.8,70.191,26.823,40.92,58.937,27.308,71.614
State,Connecticut,2466129,71.726,11.686,60.877,28.156,52.544,25.684,67.253,5.58,64.712,35.222,75.231,15.928,75.739,15.061,65.745,22.779,61.657,28.418,42.093,47.77,51.705,48.295,87.636,10.285,80.47,16.654,76.281,22.148,73.352,23.89,68.025,29.442,84.13,13.383,29.749,67.757,47.845,49.723,82.583,16.888,71.354,9.984,67.051,10.171,65.667,12.893,56.846,12.64,56.568,13.503,71.498,26.706,36.981,62.815,22.046,77.03
State,Delaware,640915,70.931,12.744,57.104,31.416,51.136,26.146,61.376,5.566,59.609,40.38,69.819,18.561,70.465,17.466,62.705,23.868,57.872,29.399,42.163,46.194,51.658,48.342,84.526,12.988,77.8,19.727,70.194,28.11,67.872,29.121,63.665,34.378,81.355,16.064,33.742,64.783,49.374,49.471,78.226,21.541,68.253,12.909,64.434,13.895,63.418,16.384,58.572,15.424,58.998,15.268,69.032,28.889,34.245,66.013,22.117,76.983
State,District of Columbia,462997,82.211,6.13,64.117,26.516,65.907,18.817,74.542,2.987,71.909,27.758,80.988,10.864,80.256,10.291,75.039,14.794,68.343,20.823,51.458,38.134,63.562,36.438,89.197,8.711,83.392,14.384,79.777,18.843,72.975,23.959,70.779,26.292,85.548,12.255,22.705,75.526,35.439,64.137,84.399,15.494,76.304,8.94,74.216,9.19,74.079,9.891,67.288,10.149,66.72,11.043,75.231,21.596,44.694,55.386,26.058,72.976
State,Florida,14093687,70.208,13.788,56.25,32.378,48.919,27.622,60.141,5.781,59.773,40.33,69.688,19.746,69.2,19.174,61.504,25.351,57.811,30.069,42.326,47.041,51.788,48.212,84.034,13.166,77.413,20.006,69.872,28.44,67.339,29.139,64.162,32.695,80.812,16.234,34.357,62.547,45.666,51.685,78.42,21.233,67.247,12.443,63.47,13.283,63.009,16.275,59.047,14.696,59.872,15.3,68.292,28.717,34.17,65.844,21.008,77.944
State,Georgia,6589462,69.545,13.064,54.283,34.367,45.121,26.852,59.703,5.883,58.461,41.721,64.345,20.514,64.209,19.87,55.711,25.272,55.937,29.571,41.254,45.528,50.806,49.194,84.551,12.675,76.414,20.347,66.89,31.951,67.29,29.259,60.539,36.935,81.219,16.456,35.503,61.907,50.903,46.599,78.663,20.965,66.678,12.349,63.271,12.845,60.302,16.14,57.013,14.528,57.998,14.334,68.755,29.438,32.415,67.571,19.015,79.977
State,Hawaii,972945,77.393,9.378,64.424,24.991,59.707,23.145,68.614,3.976,70.169,29.455,79.684,13.004,79.302,12.247,73.191,17.706,67.643,23.723,49.247,42.223,57.705,42.295,86.675,10.35,80.388,16.992,78.796,19.642,74.091,22.601,68.53,28.179,84.256,12.423,24.207,72.507,39.741,57.045,83.046,16.415,72.47,10.564,70.215,10.232,68.734,14.468,55.291,15.884,59.309,13.742,75.318,21.884,44.016,55.449,24.071,74.295
State,Idaho,1047606,63.459,19.914,51.453,36.162,41.725,35.635,55.622,7.959,55.569,44.124,65.626,24.584,62.567,26.098,56.225,31.439,53.34,36.553,34.536,55.335,45.922,54.078,83.387,13.234,74.123,22.66,66.447,31.59,66.067,29.386,60.537,35.976,80.175,16.604,36.081,58.569,49.029,45.707,79.281,19.902,63.555,12.329,60.057,12.107,55.214,19.43,50.312,16.19,53.72,16.622,65.208,29.949,35.627,63.706,20.227,78.784
State,Illinois,8618284,72.723,11.592,58.898,30.514,51.154,25.458,66.103,4.753,62.418,37.391,73.757,16.454,72.909,15.755,63.567,22.821,59.873,29.022,42.038,47.515,50.834,49.167,87.516,10.17,79.815,17.223,73.67,24.571,69.007,28.418,66.016,31.212,84.515,12.895,28.69,69.099,47.508,49.438,79.099,20.741,71.896,9.404,67.41,10.058,64.5,13.09,57.748,12.031,56.212,12.671,71.023,27.446,36.112,63.531,23.157,75.389
State,Indiana,4339687,63.938,18.68,50.736,36.798,43.133,32.575,54.252,7.055,51.632,48.314,63.999,24.75,63.217,23.462,54.586,30.924,51.388,36.919,34.83,53.235,43.609,56.391,83.093,14.393,74.087,23.021,62.761,35.409,60.247,36.873,58.955,37.988,80.711,16.41,37.805,60.059,55.855,42.205,71.686,28.237,64.736,12.555,60.012,13.755,55.84,18.369,53.311,14.639,52.845,15.678,65.348,30.697,31.15,68.709,21.418,77.112
