long,lat
-116.956347,43.67832
-116.956393,43.678362
-116.956522,43.678617
-116.95635,43.67852
-116.956695,43.678938
-116.95665,43.678872
-116.956255,43.678158
-116.956285,43.678287
-116.956323,43.678338
-116.9561,43.678575
-116.955168,43.678072
-116.955178,43.677898
-116.95511,43.67798
-116.955203,43.678013
-116.955117,43.677898
-116.955298,43.678022
-116.955207,43.677952
-116.955042,43.677743
-116.95535,43.67785
-116.955222,43.677828
-116.955072,43.677748
-116.955057,43.677682
-116.954995,43.677617
-116.955148,43.677677
-116.95518,43.677782
-116.955035,43.677708
-116.955112,43.677757
-116.957215,43.677205
-116.958402,43.675663
-116.958008,43.673487
-116.957817,43.672692
-116.957895,43.673003
-116.959173,43.67256
-116.961983,43.670585
-116.963113,43.66917
-116.969118,43.668852
-116.973378,43.66831
-116.975715,43.667283
-116.974927,43.66812
-116.976785,43.667005
-116.976657,43.666785
-116.975075,43.668363
-116.974172,43.668187
-116.974167,43.668195
-116.974107,43.66822
-116.974157,43.668163
-116.974195,43.668152
-116.974122,43.668178
-116.974162,43.66817
-116.974138,43.668173
-116.97414,43.668168
-116.974385,43.66864
-116.97611,43.668468
-116.975645,43.66807
-116.975377,43.667532
-116.975572,43.667498
-116.976145,43.667083
-116.976408,43.666215
-116.976602,43.666857
-116.976562,43.66687
-116.976553,43.666885
-116.976648,43.666917
-116.976512,43.666922
-116.976657,43.667002
-116.97663,43.6669
-116.976245,43.667243
-116.976568,43.666933
-116.976592,43.666923
-116.976575,43.666752
-116.976618,43.666838
-116.97684,43.66678
-116.976537,43.667127
-116.976467,43.667108
-116.97652,43.667082
-116.976493,43.666972
-116.976493,43.666943
-116.9767,43.666822
-116.976462,43.66687
-116.976527,43.666913
-116.976573,43.667222
-116.976577,43.666893
-116.976548,43.66693
-116.976583,43.666887
-116.976542,43.666918
-116.97652,43.66696
-116.976542,43.666987
-116.976575,43.666738
-116.976543,43.666922
-116.976507,43.666965
-116.976628,43.666807
-116.976565,43.666895
-116.976602,43.666853
-116.976567,43.666962
-116.976567,43.666888
-116.976608,43.666805
-116.976567,43.666897
-116.976562,43.666903
-116.976593,43.666868
-116.976587,43.666878
-116.9766,43.666855
-116.976583,43.666863
-116.976622,43.666798
-116.976463,43.667068
-116.976552,43.66695
-116.976608,43.66685
-116.976485,43.667088
-116.97654,43.666938
-116.976583,43.66687
-116.976523,43.66692
-116.976512,43.666963
-116.976528,43.666967
-116.976543,43.666917
-116.976547,43.666942
-116.976533,43.666973
-116.976502,43.667013
-116.976527,43.666967
-116.976525,43.66694
-116.976548,43.66691
-116.976525,43.666968
-116.97652,43.666973
-116.976478,43.667082
-116.976445,43.66714
-116.976545,43.667228
-116.975663,43.667422
-116.975547,43.667762
-116.975377,43.668018
-116.975388,43.668167
-116.975393,43.668177
-116.975367,43.668118
-116.97543,43.668155
-116.975412,43.668142
-116.975405,43.668158
-116.975393,43.66813
-116.975375,43.668022
-116.975378,43.66813
-116.97546,43.668105
-116.975408,43.668163
-116.975575,43.668142
-116.975443,43.668158
-116.975503,43.668118
-116.975403,43.66818
-116.975433,43.66814
-116.975368,43.668298
-116.97537,43.668123
-116.975368,43.668168
-116.975432,43.66814
-116.97544,43.668155
-116.975083,43.668135
-116.975282,43.668315
-116.97539,43.668127
-116.97539,43.668117
-116.975423,43.66815
-116.975445,43.668157
-116.975405,43.668147
-116.975327,43.668248
-116.975347,43.66795
-116.975075,43.667995
-116.975407,43.668117
-116.975417,43.668203
-116.975402,43.668105
-116.975242,43.668162
-116.97535,43.668147
-116.97533,43.66804
-116.975227,43.66817
-116.975223,43.668087
-116.975313,43.668102
-116.975427,43.668115
-116.975332,43.668252
-116.975128,43.667903
-116.97536,43.668152
-116.975432,43.6682
-116.975492,43.6683
-116.975347,43.668155
-116.975277,43.668128
-116.975282,43.66818
-116.975308,43.668003
-116.97521,43.668303
-116.97531,43.668213
-116.9754,43.66825
-116.97536,43.66822
-116.975407,43.668158
-116.975522,43.66817
-116.97534,43.668165
-116.975317,43.668147
-116.975597,43.668155
-116.97541,43.668162
-116.975523,43.66818
-116.975477,43.668167
-116.975238,43.668133
-116.975557,43.668185
-116.975618,43.668167
-116.975502,43.668188
-116.975797,43.668197
-116.975362,43.66814
-116.97516,43.668113
-116.975167,43.668135
-116.975247,43.668145
-116.975753,43.668187
-116.975695,43.668187
-116.975577,43.668182
-116.97547,43.668168
-116.975095,43.668148
-116.975367,43.66815
-116.975375,43.668153
-116.975517,43.668158
-116.975077,43.668142
-116.974342,43.668073
-116.974722,43.668132
-116.976458,43.668228
-116.97449,43.668098
-116.975273,43.668162
-116.975132,43.66819
-116.973818,43.668057
-116.97445,43.668105
-116.975293,43.668188
-116.975313,43.668165
-116.97534,43.668307
-116.9753,43.668143
-116.975348,43.66817
-116.975298,43.668153
-116.975247,43.668135
-116.975367,43.668177
-116.97543,43.668165
-116.975363,43.66817
-116.97534,43.668158
-116.975362,43.668158
-116.97533,43.668153
-116.975342,43.668155
-116.975342,43.668168
-116.975365,43.668175
-116.975333,43.668178
-116.975425,43.66831
-116.97534,43.66816
-116.975345,43.668152
-116.97538,43.668178
-116.975327,43.668152
-116.97538,43.668177
-116.97538,43.668168
-116.975355,43.668175
-116.975352,43.668233
-116.975387,43.668142
-116.975367,43.668125
-116.975473,43.668213
-116.975273,43.668158
-116.975312,43.668155
-116.975242,43.668182
-116.975222,43.668155
-116.975168,43.668127
-116.975293,43.668147
-116.975382,43.668267
-116.9752,43.668152
-116.9754,43.668152
-116.975277,43.66817
-116.975247,43.668153
-116.975332,43.66806
-116.975145,43.668242
-116.975243,43.668152
-116.975392,43.668148
-116.975355,43.668317
-116.975275,43.6681
-116.97534,43.66825
-116.975437,43.668233
-116.9754,43.668097
-116.97536,43.66816
-116.975253,43.668108
-116.975403,43.66815
-116.975297,43.668172
